회계년도	종목검색
연번	종목명	1Q	2Q	3Q	4Q	합계	종가	배당수익률 ▼
134	포스코퓨처엠				300	300	180,000	0.16
135	롯데에너지머티리얼즈				300	300	51,900	0.57
136	녹십자홀딩스				300	300	17,000	1.76
137	에스디바이오센서		700		290	990	30,150	3.28
138	한전기술				283	283	54,600	0.51
139	한화시스템				250	250	10,550	2.36
140	한국항공우주				250	250	50,900	0.49
141	율촌화학				250	250	36,450	0.68
142	HD현대인프라코어				240	240	8,000	3.00
143	아모레G				205	205	34,900	0.58
144	미래에셋증권				200	200	6,080	3.28
145	호텔신라				200	200	83,100	0.24
146	한미사이언스				200	200	32,450	0.61
147	케이카	190	190	190	190	760	11,550	6.58
148	한진칼				170	170	37,450	0.45
149	KG스틸				150	150	7,390	2.02
150	팬오션				150	150	5,730	2.61
151	SK네트웍스				120	120	3,870	3.10
152	쌍용C&E	110	110	110	110	440	5,760	7.63
153	메리츠금융지주				105	105	42,700	0.24
154	보령				100	100	9,060	1.10
155	대웅				100	100	20,350	0.49
156	한온시스템	90	90	90	90	360	8,090	4.44
157	카카오뱅크				80	80	24,300	0.32
158	카카오				60	60	53,100	0.11
159	후성				20	20	10,700	0.18
160	NAVER			914		914	177,500	0.51
161	한샘	400	400			800	44,600	1.79
162	넷마블						60,400	
163	대한전선						1,495	
164	삼성바이오로직스						821,000	
165	SK스퀘어						33,550	
166	일진하이솔루스						29,850	
167	SK바이오팜						72,100	
168	카카오페이						54,200	
169	코스모화학						20,550	
170	롯데관광개발						14,450	
171	한올바이오파마						17,800	
172	아시아나항공						14,000	
173	한화솔루션						43,000	
174	신풍제약						21,150	
175	삼성엔지니어링						22,250	
176	현대미포조선						84,500	
177	하나투어						60,500	
178	한국가스공사						36,200	
179	아이에스동서						28,200	
180	두산퓨얼셀						29,350	
181	LG에너지솔루션						435,500	
182	금양						23,900	
183	하이브						173,500	
184	금호타이어						2,780	
185	명신산업						14,350	
186	한화오션						18,950	
187	HD현대중공업						116,000	
188	SK바이오사이언스						73,500	
189	GKL						18,900	
190	두산에너빌리티						15,400	
191	한국전력						21,800	
192	대우건설						4,180	
193	SK아이이테크놀로지						53,000	
194	코스맥스						74,100	
195	LG디스플레이						12,450	
196	HD한국조선해양						70,700	
197	현대로템						28,400	
198	크래프톤						168,000	
199	삼성중공업						5,110	
200	한화생명						2,770	
합계	8181.000000	20731.000000	6695.000000	320463.000000	356070.000000	18982935.000000	1.875737	
