회계년도	종목검색
연번	종목명	1Q	2Q	3Q	4Q	합계	종가	배당수익률 ▼
1	HD현대				18,500	18,500	283,500	6.52
2	고려아연				15,000	15,000	401,500	3.73
3	LG생활건강				11,025	11,025	1,620,000	0.68
4	LG화학				10,025	10,025	824,000	1.21
5	영풍				10,000	10,000	538,000	1.85
6	SK텔레콤		1,000		9,000	10,000	238,000	4.20
7	삼성화재				8,802	8,802	187,500	4.69
8	엔씨소프트				8,550	8,550	931,000	0.91
9	오뚜기				8,000	8,000	577,000	1.38
10	SK		1,000		6,025	7,025	240,500	2.92
11	한일시멘트				5,100	5,100	105,000	4.85
12	KCC		700		5,000	5,700	197,500	2.88
13	효성				5,000	5,000	76,400	6.54
14	효성티앤씨				5,000	5,000	211,000	2.36
15	KT&G				4,800	4,800	83,100	5.77
16	POSCO홀딩스	1,500	500	1,500	4,500	8,000	272,000	2.94
17	금호석유				4,225	4,225	145,000	2.91
18	현대모비스				4,025	4,025	255,500	1.57
19	CJ제일제당				4,025	4,025	381,000	1.05
20	농심				4,000	4,000	300,000	1.33
21	키움증권				3,711	3,711	126,500	2.93
22	롯데케미칼				3,600	3,600	276,000	1.30
23	현대글로비스				3,500	3,500	184,000	1.90
24	한국금융지주				3,000	3,000	79,000	3.79
25	대한유화				3,000	3,000	230,000	1.30
26	현대차				3,000	3,000	192,000	1.56
27	롯데쇼핑				2,800	2,800	102,500	2.73
28	롯데칠성				2,702	2,702	108,500	2.49
29	LG				2,525	2,525	87,500	2.88
30	삼성생명				2,500	2,500	79,100	3.16
31	에스원				2,500	2,500	85,000	2.94
32	삼성에스디에스				2,400	2,400	178,500	1.34
33	BGF리테일				2,400	2,400	135,500	1.77
34	삼성물산				2,325	2,325	138,000	1.68
35	DB손해보험				2,200	2,200	43,750	5.02
36	삼성증권				2,200	2,200	40,450	5.43
37	현대홈쇼핑				2,200	2,200	81,500	2.69
38	SK케미칼				2,025	2,025	392,500	0.51
39	CJ				2,025	2,025	92,100	2.19
40	두산				2,025	2,025	52,400	3.86
41	이마트				2,000	2,000	151,500	1.32
42	삼성전자	354	354	354	1,932	2,994	81,000	3.69
43	GS				1,925	1,925	37,550	5.12
44	삼성카드				1,800	1,800	32,500	5.53
45	한솔케미칼				1,800	1,800	196,500	0.91
46	KB금융				1,770	1,770	43,400	4.07
47	신한지주				1,608	1,608	32,050	5.01
48	롯데웰푸드				1,600	1,600	102,000	1.56
49	태광산업				1,550	1,550	801,000	0.19
50	녹십자				1,500	1,500	406,000	0.36
51	롯데정밀화학				1,500	1,500	55,200	2.71
52	신세계				1,500	1,500	239,500	0.62
53	LS				1,450	1,450	71,400	2.03
54	삼성전기				1,425	1,425	178,000	0.80
55	하나금융지주		500		1,350	1,850	34,500	5.36
56	KT				1,350	1,350	24,000	5.62
57	DL				1,325	1,325	83,000	1.59
58	한샘				1,300	1,300	104,500	1.24
59	LG전자				1,225	1,225	135,000	0.90
60	한국전력				1,216	1,216	27,400	4.43
61	GS건설				1,200	1,200	37,800	3.17
62	코웨이				1,200	1,200	72,700	1.65
63	SK하이닉스				1,170	1,170	118,500	0.98
64	한전KPS				1,146	1,146	29,700	3.85
65	LS ELECTRIC				1,100	1,100	63,100	1.74
66	신세계인터내셔날				1,100	1,100	161,500	0.68
67	롯데지주				1,025	1,025	35,300	2.90
68	삼성SDI				1,025	1,025	628,000	0.16
69	코오롱인더				1,025	1,025	41,050	2.49
70	TKG휴켐스				1,000	1,000	25,650	3.89
71	아이에스동서				1,000	1,000	53,400	1.87
72	씨에스윈드				1,000	1,000	177,000	0.56
73	SKC				1,000	1,000	94,000	1.06
74	현대백화점				1,000	1,000	71,400	1.40
75	종근당				1,000	1,000	226,500	0.44
76	기아				1,000	1,000	62,400	1.60
77	현대해상				1,000	1,000	22,750	4.39
78	메리츠금융지주				900	900	9,810	9.17
79	GS리테일				900	900	34,450	2.61
80	LIG넥스원				900	900	30,500	2.95
81	제일기획				840	840	20,600	4.07
82	아모레퍼시픽				802	802	206,000	0.38
83	삼양식품				800	800	101,000	0.79
84	현대엘리베이				800	800	39,700	2.01
85	지누스				800	800	103,000	0.77
86	하이트진로				775	775	31,850	2.43
87	넷마블				767	767	131,500	0.58
88	오리온				750	750	124,000	0.60
89	NH투자증권				725	725	11,300	6.41
90	한화				725	725	28,300	2.56
91	PI첨단소재				711	711	37,000	1.92
92	대상				705	705	26,050	2.70
93	동서				700	700	33,950	2.06
94	포스코인터내셔널				700	700	14,550	4.81
95	현대위아				700	700	53,500	1.30
96	LG이노텍				700	700	182,500	0.38
97	오리온홀딩스				650	650	13,200	4.92
98	한국타이어앤테크놀로지				650	650	39,400	1.64
99	현대건설				625	625	37,450	1.66
100	동원시스템즈				625	625	35,700	1.75
101	쿠쿠홈시스				600	600	39,100	1.53
102	대웅제약				600	600	165,000	0.36
103	HDC현대산업개발				600	600	26,100	2.29
104	한화에어로스페이스				600	600	28,500	2.10
105	풍산				600	600	27,950	2.14
106	녹십자홀딩스				502	502	41,500	1.20
