회계년도	종목검색
연번	종목명	1Q	2Q	3Q	4Q	합계	종가	배당수익률 ▼
107	세방전지				500	500	68,900	0.72
108	한세실업				500	500	17,500	2.85
109	한미약품				500	500	366,500	0.13
110	현대제철				500	500	39,600	1.26
111	율촌화학				500	500	20,550	2.43
112	에스엘				500	500	16,250	3.07
113	영원무역				500	500	31,700	1.57
114	한국앤컴퍼니				500	500	14,650	3.41
115	기업은행				471	471	8,840	5.32
116	한섬				450	450	30,250	1.48
117	LG유플러스				450	450	11,750	3.82
118	유한양행				405	405	75,100	0.53
119	NAVER				402	402	292,500	0.13
120	LX인터내셔널				400	400	24,700	1.61
121	DGB금융지주				390	390	6,790	5.74
122	DB하이텍				375	375	51,000	0.73
123	JB금융지주				374	374	5,640	6.63
124	우리금융지주				360	360	9,730	3.69
125	더블유게임즈				350	350	60,200	0.58
126	한국콜마				345	345	50,900	0.67
127	BNK금융지주				320	320	5,680	5.63
128	포스코퓨처엠				300	300	104,000	0.28
129	한전기술				282	282	17,850	1.57
130	아모레G				232	232	54,900	0.42
131	한화시스템				230	230	17,300	1.32
132	호텔신라				225	225	82,300	0.27
133	미래에셋증권				210	210	9,440	2.22
134	한미사이언스				200	200	76,100	0.26
135	롯데에너지머티리얼즈				200	200	50,900	0.39
136	한국항공우주				200	200	25,800	0.77
137	휠라홀딩스				192	192	43,700	0.43
138	카카오				150	150	389,500	0.03
139	SK네트웍스				132	132	4,855	2.71
140	KG스틸				125	125	11,600	1.07
141	한온시스템	68	68	68	116	320	16,250	1.96
142	쌍용C&E	110	110	110	110	440	6,680	6.58
143	신풍제약				107	107	124,000	0.08
144	대웅				100	100	50,300	0.19
145	보령				100	100	19,050	0.52
146	팬오션				50	50	5,020	0.99
147	한화생명				30	30	2,440	1.22
148	금호타이어						3,785	
149	하이브						160,000	
150	에스디바이오센서							
151	DL이앤씨							
152	삼성중공업						7,040	
153	S-Oil						69,200	
154	HL만도						58,800	
155	강원랜드						23,500	
156	한화오션						27,400	
157	두산에너빌리티						13,500	
158	대한전선						1,370	
159	SK이노베이션						190,000	
160	OCI홀딩스						93,000	
161	카카오뱅크							
162	SK아이이테크놀로지							
163	CJ대한통운						165,500	
164	두산밥캣						29,650	
165	F&F							
166	HD한국조선해양						108,500	
167	하나투어						56,000	
168	두산퓨얼셀						53,500	
169	금양						6,620	
170	명신산업						45,650	
171	케이카							
172	롯데관광개발						15,000	
173	아시아나항공						4,210	
174	현대로템						17,200	
175	한올바이오파마						37,500	
176	한국가스공사						30,900	
177	SK바이오팜						169,000	
178	크래프톤							
179	삼성바이오로직스						826,000	
180	GKL						16,700	
181	HMM						13,950	
182	현대미포조선						48,000	
183	효성첨단소재						149,000	
184	일진하이솔루스							
185	카카오페이							
186	HD현대중공업							
187	코스모화학						12,200	
188	대한항공						27,200	
189	대우건설						4,985	
190	LG에너지솔루션							
191	한화솔루션						47,900	
192	코스맥스						99,500	
193	HD현대인프라코어						7,920	
194	삼성엔지니어링						13,250	
195	LG디스플레이						18,550	
196	SK스퀘어							
197	셀트리온						359,000	
198	후성						11,800	
199	한진칼						63,100	
200	SK바이오사이언스							
합계	2032.000000	4232.000000	2032.000000	285495.500000	293791.500000	22429105.000000	1.309867	
