회계년도	종목검색
연번	종목명	1Q	2Q	3Q	4Q	합계	종가	배당수익률 ▼
1	HD현대				18,500	18,500	338,000	5.47
2	고려아연				14,000	14,000	425,000	3.29
3	LG생활건강				11,000	11,000	1,261,000	0.87
4	영풍				10,000	10,000	645,000	1.55
5	SK텔레콤		1,000		9,000	10,000	238,000	4.20
6	삼성화재				8,500	8,500	243,500	3.49
7	오뚜기				7,500	7,500	554,000	1.35
8	롯데케미칼				6,700	6,700	224,000	2.99
9	엔씨소프트				5,220	5,220	541,000	0.96
10	효성				5,000	5,000	79,100	6.32
11	한일시멘트				4,700	4,700	93,400	5.03
12	KCC		1,000		4,500	5,500	233,500	2.35
13	KT&G				4,400	4,400	93,800	4.69
14	POSCO홀딩스	2,000	2,000	2,000	4,000	10,000	236,500	4.22
15	SK		1,000		4,000	5,000	262,000	1.90
16	농심				4,000	4,000	240,500	1.66
17	롯데쇼핑				3,800	3,800	135,500	2.80
18	현대글로비스				3,500	3,500	143,000	2.44
19	CJ제일제당				3,500	3,500	252,500	1.38
20	키움증권				3,211	3,211	79,500	4.03
21	현대모비스		1,000		3,025	4,025	256,000	1.57
22	현대차		1,000		3,000	4,000	120,500	3.31
23	한국금융지주				2,900	2,900	72,400	4.00
24	롯데칠성				2,700	2,700	140,000	1.92
25	BGF리테일				2,700	2,700	169,500	1.59
26	삼성생명				2,650	2,650	74,500	3.55
27	에스원				2,500	2,500	93,700	2.66
28	대한유화				2,500	2,500	117,500	2.12
29	삼성에스디에스				2,400	2,400	194,500	1.23
30	KB금융				2,210	2,210	47,650	4.63
31	LG				2,200	2,200	73,800	2.98
32	효성티앤씨				2,000	2,000	154,500	1.29
33	LG화학				2,000	2,000	317,500	0.62
34	신세계				2,000	2,000	289,000	0.69
35	이마트				2,000	2,000	127,500	1.56
36	삼성물산				2,000	2,000	108,500	1.84
37	현대홈쇼핑				2,000	2,000	80,500	2.48
38	유한양행				2,000	2,000	236,500	0.84
39	한전KPS				1,920	1,920	39,150	4.90
40	GS				1,900	1,900	51,600	3.68
41	CJ				1,850	1,850	96,600	1.91
42	신한지주				1,850	1,850	43,350	4.26
43	롯데정밀화학				1,700	1,700	45,150	3.76
44	삼성증권				1,700	1,700	38,600	4.40
45	하나금융지주		500		1,600	2,100	36,900	5.69
46	삼성카드				1,600	1,600	38,600	4.14
47	태광산업				1,550	1,550	1,060,000	0.14
48	DB손해보험				1,500	1,500	52,300	2.86
49	금호석유				1,500	1,500	77,500	1.93
50	한솔케미칼				1,500	1,500	106,000	1.41
51	LS				1,450	1,450	47,800	3.03
52	SK이노베이션		1,600		1,400	3,000	150,000	2.00
53	두산	1,300	1,300	1,300	1,300	5,200	70,300	7.39
54	DL				1,300	1,300	90,500	1.43
55	롯데웰푸드				1,300	1,300	149,500	0.86
56	지누스				1,250	1,250	92,800	1.34
57	LS ELECTRIC				1,200	1,200	54,600	2.19
58	한샘				1,200	1,200	62,200	1.92
59	기아				1,150	1,150	44,300	2.59
60	삼성전기				1,100	1,100	125,000	0.88
61	신세계인터내셔날				1,100	1,100	219,500	0.50
62	KT				1,100	1,100	27,000	4.07
63	아모레퍼시픽				1,000	1,000	200,000	0.50
64	TKG휴켐스				1,000	1,000	21,150	4.72
65	삼성SDI				1,000	1,000	236,000	0.42
66	SK하이닉스				1,000	1,000	94,100	1.06
67	녹십자				1,000	1,000	132,500	0.75
68	SKC				1,000	1,000	51,000	1.96
69	현대백화점				1,000	1,000	83,100	1.20
70	GS건설				1,000	1,000	31,050	3.22
71	종근당				900	900	97,000	0.92
72	강원랜드				900	900	29,600	3.04
73	현대엘리베이				900	900	68,300	1.31
74	코오롱인더				900	900	49,750	1.80
75	코스맥스				900	900	79,900	1.12
76	현대해상				880	880	26,950	3.26
77	제일기획				820	820	24,050	3.40
78	롯데지주		300		800	1,100	38,950	2.82
79	삼양식품				800	800	89,900	0.88
80	GS리테일				750	750	39,250	1.91
81	현대제철				750	750	31,450	2.38
82	LG전자				750	750	72,100	1.04
83	우리금융지주				700	700	11,600	6.03
84	한화				700	700	25,000	2.80
85	하이트진로				700	700	29,000	2.41
86	현대위아				700	700	50,200	1.39
87	포스코인터내셔널				700	700	18,650	3.75
88	동서				700	700	17,400	4.02
89	아이에스동서				700	700	32,950	2.12
90	기업은행				670	670	11,800	5.67
91	오리온홀딩스				650	650	17,800	3.65
92	두산밥캣		600		600	1,200	34,350	3.49
93	대웅제약				600	600	137,500	0.43
94	오리온				600	600	105,500	0.56
95	LIG넥스원				600	600	31,600	1.89
96	대상				600	600	23,200	2.58
97	현대건설				600	600	42,300	1.41
98	쿠쿠홈시스				560	560	43,200	1.29
99	메리츠금융지주				550	550	11,800	4.66
100	HL만도				550	550	35,200	1.56
