회계년도	종목검색
연번	종목명	1Q	2Q	3Q	4Q	합계	종가	배당수익률 ▼
1	고려아연		10,000			10,000	557,000	1.79
2	POSCO홀딩스	2,500	2,500			5,000	584,000	0.85
3	SK		1,500			1,500	151,900	0.98
4	한샘		1,500			1,500	56,700	2.64
5	현대차		1,500			1,500	192,200	0.78
6	KT&G		1,200			1,200	90,300	1.32
7	CJ제일제당	1,000	1,000			2,000	305,500	0.65
8	KCC		1,000			1,000	247,500	0.40
9	삼양식품		1,000			1,000	190,700	0.52
10	현대모비스		1,000			1,000	238,000	0.42
11	HD현대		900			900	70,500	1.27
12	SK텔레콤	830	830			1,660	50,400	3.29
13	두산밥캣		800			800	53,900	1.48
14	하나금융지주	600	600			1,200	43,500	2.75
15	신한지주	525	525			1,050	38,000	2.76
16	KB금융	510	510			1,020	57,300	1.78
17	NAVER		415			415	229,500	0.18
18	SK케미칼		400			400	62,100	0.64
19	삼성전자	361	361			722	72,000	1.00
20	SK하이닉스	300	300			600	122,400	0.49
21	LG유플러스		250			250	10,530	2.37
22	S-Oil		200			200	80,700	0.24
23	케이카	190	190			380	11,420	3.32
24	우리금융지주		180			180	12,590	1.42
25	JB금융지주		120			120	10,390	1.15
26	BNK금융지주		100			100	7,140	1.40
27	한온시스템	90	90			180	9,100	1.97
28	쌍용C&E	70	70			140	5,620	2.49
29	녹십자홀딩스						15,320	
30	롯데칠성						129,500	
31	GS리테일						24,350	
32	한미사이언스						34,450	
33	삼성전기						144,400	
34	KT						32,850	
35	신풍제약						16,700	
36	삼성물산						110,000	
37	삼성카드						30,900	
38	삼성생명						72,400	
39	LIG넥스원						84,400	
40	동서						17,430	
41	풍산						37,250	
42	코웨이						42,900	
43	롯데웰푸드						112,200	
44	하이브						244,500	
45	아시아나항공						10,990	
46	금양						129,300	
47	오리온홀딩스						15,190	
48	롯데에너지머티리얼즈						45,150	
49	포스코퓨처엠						408,500	
50	삼성중공업						8,540	
51	DB손해보험						94,000	
52	GS건설						14,840	
53	호텔신라						88,100	
54	SKC						81,300	
55	삼성엔지니어링						32,450	
56	엔씨소프트						252,500	
57	키움증권						103,900	
58	휠라홀딩스						39,950	
59	아모레퍼시픽						128,500	
60	한세실업						21,250	
61	넷마블						47,350	
62	카카오뱅크						26,050	
63	HD현대중공업						128,600	
64	SK스퀘어						42,250	
65	영풍						546,000	
66	CJ						90,500	
67	SK네트웍스						6,580	
68	아모레G						32,550	
69	대한항공						22,950	
70	효성						63,900	
71	OCI홀딩스						90,000	
72	아이에스동서						32,500	
73	오뚜기						372,000	
74	LG이노텍						249,500	
75	LS						98,300	
76	HD현대인프라코어						10,800	
77	한전기술						62,500	
78	현대로템						29,950	
79	씨에스윈드						59,200	
80	한미약품						305,500	
81	PI첨단소재						27,900	
82	HL만도						41,550	
83	효성첨단소재						450,500	
84	롯데지주						26,350	
85	한국앤컴퍼니						11,340	
86	DB하이텍						52,500	
87	LG						85,800	
88	농심						444,500	
89	코스모화학						40,900	
90	명신산업						19,990	
91	한솔케미칼						181,800	
92	두산에너빌리티						17,170	
93	롯데정밀화학						59,500	
94	하나투어						47,300	
95	한국항공우주						50,600	
96	한국타이어앤테크놀로지						40,150	
97	한화시스템						13,080	
98	한일시멘트						12,700	
99	현대건설						37,300	
100	SK바이오팜						91,300	
101	LG에너지솔루션						514,000	
102	DL						42,150	
103	삼성화재						267,500	
104	녹십자						115,100	
105	대한유화						145,800	
106	현대미포조선						90,300	
107	동원시스템즈						32,950	
108	삼성증권						38,950	
109	SK이노베이션						159,600	
110	DGB금융지주						8,040	
111	한국콜마						51,700	
112	크래프톤						157,000	
113	효성티앤씨						374,000	
114	태광산업						590,000	
115	LG생활건강						470,500	
116	에스엘						35,400	
117	율촌화학						31,450	
118	한올바이오파마						26,500	
119	LS ELECTRIC						96,700	
120	금호석유						131,900	
121	한국가스공사						25,200	
122	현대백화점						67,300	
123	대웅제약						109,100	
124	코오롱인더						48,750	
125	메리츠금융지주						55,500	
126	한진칼						42,900	
127	종근당						95,400	
128	더블유게임즈						42,100	
129	한국금융지주						56,500	
130	HDC현대산업개발						10,570	
131	두산						133,900	
132	기아						80,100	
133	LX인터내셔널						29,850	
134	대한전선						13,200	
135	세방전지						63,500	
136	GS						40,450	
137	롯데케미칼						147,000	
138	한화에어로스페이스						111,500	
139	한섬						19,610	
140	후성						11,220	
141	금호타이어						4,635	
142	이마트						73,300	
143	하이트진로						20,150	
144	한화오션						35,450	
145	보령						10,250	
146	영원무역						52,300	
147	NH투자증권						10,480	
148	코스맥스						132,800	
149	한화솔루션						32,650	
150	쿠쿠홈시스						22,200	
151	HMM						16,830	
152	현대위아						58,000	
153	KG스틸						8,640	
154	SK바이오사이언스						72,700	
155	삼성에스디에스						140,400	
156	롯데쇼핑						73,300	
157	기업은행						11,340	
158	신세계인터내셔날						19,580	
159	롯데관광개발						14,100	
160	강원랜드						16,250	
161	LG화학						573,000	
162	LG전자						107,400	
163	일진하이솔루스						25,500	
164	DL이앤씨						32,450	
165	F&F						117,000	
166	대웅						14,370	
167	삼성SDI						581,000	
168	한국전력						18,140	
169	현대엘리베이						42,200	
170	팬오션						4,820	
171	제일기획						19,970	
172	LG디스플레이						13,830	
173	카카오						48,850	
174	포스코인터내셔널						79,600	
175	TKG휴켐스						21,650	
176	현대글로비스						178,900	
177	두산퓨얼셀						23,500	
178	삼성바이오로직스						731,000	
179	오리온						121,400	
180	BGF리테일						153,300	
181	SK아이이테크놀로지						81,300	
182	유한양행						75,500	
183	현대해상						33,100	
184	대상						18,680	
185	현대제철						39,450	
186	신세계						212,000	
187	미래에셋증권						6,990	
188	HD한국조선해양						122,400	
189	에스원						57,600	
190	지누스						25,450	
191	대우건설						4,570	
192	한전KPS						33,100	
193	현대홈쇼핑						44,950	
194	셀트리온						146,500	
195	한화생명						3,120	
196	카카오페이						46,550	
197	GKL						17,040	
198	에스디바이오센서						12,490	
199	CJ대한통운						79,800	
200	한화						25,250	
합계	6976.000000	29041.000000	0.000000	0.000000	36017.000000	19656375.000000	0.183233	
