Date,381970,017670,055550,086790,009240,003410,032640,018880,010130,105560,241560,316140,138930,033780,267250,175330,005930,034730,005490,005380,097950,285130,003230,000660,012330,002380,010950,035420,005250,005300,007070,008930,009150,030200,019170,028260,029780,032830,079550,026960,103140,021240,280360,352820,020560,001570,001800,020150,003670,010140,005830,006360,008770,011790,028050,036570,039490,081660,090430,105630,251270,323410,329180,402340,000670,001040,001740,002790,003490,004800,010060,010780,007310,011070,006260,042670,052690,064350,112610,128940,178920,204320,298050,004990,000240,000990,003550,004370,005420,009900,014680,034020,004000,039130,047810,161390,272210,300720,000720,326030,373220,000210,000810,006280,006650,010620,014820,016360,096770,139130,161890,259960,298020,003240,051900,005850,008730,009420,010120,011780,036460,069960,069620,120110,138040,180640,185750,192080,071050,294870,000150,000270,001120,001440,004490,078930,011170,012450,020000,093370,073240,139480,000080,042660,003850,111770,005940,192820,009830,284740,011200,011210,016380,302440,018260,023530,024110,031430,032350,035250,051910,066570,271940,375500,383220,003090,006400,015760,017800,028670,030000,034220,035720,047050,069260,086280,336260,207940,271560,282330,361610,000100,001450,001680,004020,004170,006800,009540,012750,013890,047040,051600,057050,068270,088350,377300,114090,137310,000120,000880
2023-01-13,12200,45900,41050,49500,48900,5530,10850,9000,559000,57400,35900,12750,7040,91400,59800,9630,60800,193000,305000,169000,343000,80100,117500,85700,216500,219500,85300,195000,16800,159500,27600,31200,144000,34350,21000,118000,30350,71800,82500,19800,33900,55600,117000,174500,14150,25150,15450,57800,193500,5140,64000,23050,82500,93800,24450,464000,97500,35150,139500,15950,57700,28150,111000,35850,628000,84200,3945,36850,24400,69100,68420,33650,456000,274500,70400,7960,63300,28400,71300,266500,31150,43500,374000,32650,13500,43200,81900,343500,21794,15650,196500,17150,56200,59300,49700,33200,11600,11200,37500,73700,478000,61000,201000,128000,175000,79100,40250,34650,157432,7630,42850,173500,376500,730000,744000,25600,40750,16800,52800,143500,33000,62600,144500,43800,43900,38950,83400,49850,60500,10600,91300,65300,34200,15750,45200,44700,179000,80200,27300,11850,3010,100500,25600,19600,9390,43750,9320,74400,59697,29950,21350,54200,8020,78300,124500,97500,10400,24950,13450,23300,644000,94200,31350,35600,133000,19700,631000,20200,29250,5900,22400,13100,62000,22850,20050,176500,33400,811000,120000,193500,65100,54200,29600,21350,34500,234500,6900,77200,58600,37750,4640,34650,54800,169000,2835,70600,18550,30200,92700,28000
2023-01-16,12450,46600,43800,52600,48850,5640,11100,8930,559000,60000,35450,13300,7240,92000,58900,9890,61100,194500,311000,166500,346500,80900,120500,85800,215000,225000,85400,200500,16900,162500,27850,31250,149000,34650,21750,117500,30600,71500,79900,19700,34050,54900,118000,178500,14500,24750,15350,59300,197000,5100,64000,23200,82300,94700,24300,476500,100500,35800,142500,16150,59200,29450,109000,35700,634000,83300,3995,38300,24400,70500,68897,34050,457500,278000,69200,7850,60800,27800,72000,269000,31550,43700,377000,32600,13600,43450,81400,352500,22089,15850,198000,16500,56200,62500,47700,32500,11650,11400,37000,74400,480500,61200,200500,130500,182500,77900,41700,35250,154972,7840,43700,175500,397500,738000,755000,25250,41300,16850,53100,149000,32850,62700,144000,45250,44500,39600,84000,49050,62100,10650,88500,64600,34150,15900,45800,44350,182500,80800,27200,12000,3000,103500,25600,19600,9420,44050,9370,74900,58637,29300,21400,53600,8150,78300,124000,99300,10550,25150,14150,23450,638000,94400,31700,35350,131000,19850,624000,20050,29600,5850,22400,13300,64500,22650,20000,173500,33800,807000,120500,195500,64900,54200,29300,21450,34700,237000,6920,76500,58700,39950,4590,34100,55100,168000,2960,70800,19150,30250,93000,27750
2023-01-17,12800,46850,43300,52200,50600,5580,11250,8860,550000,59100,35800,12850,7160,91500,60800,10150,61000,194000,305500,166000,345500,80100,117500,86000,215500,224500,84900,193500,16600,160000,27600,30350,148500,34500,20800,119000,30250,71000,79400,19750,33900,55600,118000,177000,14650,24200,15050,59000,198500,5120,67300,23000,81300,94200,24200,466000,99500,35700,144500,15850,57900,28450,110000,35600,617000,82800,3940,38250,24450,70400,71360,35000,452500,280000,70100,7790,60900,27600,71700,256500,31400,43750,377500,32650,13550,42950,81800,345000,21745,15750,201000,16300,55700,62600,47250,32650,12750,11250,36700,72100,458000,61300,206000,127000,183500,78500,41100,35150,153004,7710,43500,170000,404500,727000,757000,24900,40800,16550,53100,148500,33750,63100,140000,44900,45950,40200,82600,48500,61400,10600,89200,65000,33800,15700,45250,44500,187000,80900,26800,12050,2980,103000,25250,19800,9400,43650,9390,74800,58076,29250,21550,53100,8120,76800,123500,99200,10450,24250,14350,23250,619000,94700,31450,35650,131000,19350,616000,20000,29350,6030,22400,13300,61800,22550,19900,175000,33650,793000,119000,197500,63300,53100,31100,21200,34750,236500,6810,76100,59200,40000,4585,33800,54000,163500,2930,66400,19400,29450,91700,27850
2023-01-18,12700,47250,42700,51100,51200,5600,11300,8740,547000,58500,35300,12800,7120,92100,60300,10150,60400,192000,300000,164500,343000,81000,120000,85100,209000,223000,84200,195500,16600,164000,28400,30100,152000,34900,20650,118500,30300,71700,77800,19750,34400,55300,118000,179000,15400,23400,14950,59500,194000,5110,67600,22800,82600,94500,24050,474000,99100,35150,143500,16350,57400,27550,108500,35500,634000,85500,3940,37600,24750,69000,69135,34250,455000,283500,67400,7550,60000,26700,70800,256500,31250,43550,375500,33100,13650,42750,81300,343000,21253,15750,199000,16000,56700,64000,46600,33250,12300,11200,36350,72400,458000,61300,203000,130000,184000,77300,40700,35050,151528,7640,43450,171000,405000,725000,757000,25050,39450,16550,51000,146500,33100,63300,140000,45050,47100,40850,82700,48800,60600,10500,87800,64700,33400,15450,45550,44650,187000,77200,26600,12050,2925,103000,25250,19450,9500,44000,9350,76200,57452,29200,21500,52800,8070,77600,123500,102000,10500,24250,14350,23500,613000,95200,31150,35900,141000,19200,613000,20150,29450,6100,22150,13200,61600,22450,19600,179000,32700,793000,121500,192500,61900,53000,31350,21050,34300,235500,6880,75300,58000,39300,4465,33450,54900,164000,2920,65100,19700,29100,93500,27700
2023-01-19,12900,47450,42450,50800,51900,5630,11400,8690,555000,57200,34750,12500,7080,94100,62500,10400,61500,193000,300500,164000,345000,80500,125000,85500,208000,222000,88000,196000,16650,166500,28800,30150,152000,36050,20650,119000,30400,72000,77600,19750,34550,55900,118000,188000,15450,22800,15250,58400,184500,5090,69000,22800,83500,92300,23950,469000,99700,35200,147000,16300,57300,27200,107500,35300,628000,87400,3945,37900,24700,68800,70407,34100,463000,277000,68500,7480,60700,26300,68000,256500,31700,42950,374500,33250,13600,43850,82300,349000,20909,15600,201000,16100,55900,64300,46300,33050,12250,11200,36000,72200,456000,61600,207500,130000,177000,76200,41000,35550,152020,7590,44350,172500,396000,722000,766000,24200,39050,16400,51200,148500,34000,64300,150000,44100,48200,40650,83000,49750,61700,10600,89100,64300,33750,15450,45300,45350,185000,75500,27000,11950,2890,106000,25450,19250,9630,43200,9450,78700,57078,29450,21350,51900,8120,77200,123500,101500,10500,24500,14450,23700,621000,96300,31400,36600,141500,20000,610000,20300,29900,5990,22550,13300,60800,23550,19850,182500,33050,801000,121500,192500,61000,53000,32250,21150,34300,236000,6910,75200,58600,38500,4465,33900,55000,164000,2970,64100,19900,29600,93000,27600
2023-01-20,12950,46900,43300,51500,52300,5670,11450,8760,566000,57000,34750,12700,7160,94700,63200,10800,61800,194000,308500,164500,340000,80500,120500,87600,209500,227500,88200,196000,16700,164500,29050,30500,148000,36250,20650,119500,30500,71100,78100,20050,34350,55100,118000,187000,15550,23050,15350,59500,184500,5130,68500,23850,82800,93100,24350,456500,98300,36200,148500,16500,57000,27800,108500,35250,640000,85300,3980,40000,24500,69100,70883,35000,457500,276000,67800,7390,61800,26500,67600,259000,32700,43100,377000,33500,13500,44000,82600,348500,21204,15600,201000,16250,56300,64900,47400,33000,12200,11300,38600,71700,469500,62700,206000,130000,177000,76500,41150,35350,153988,7780,43850,172500,401000,721000,754000,24900,39100,16400,51300,148000,33900,63200,150000,44400,47000,40150,81900,49150,61700,10850,89300,64300,33950,15550,45350,45400,187500,76100,27150,12100,2945,105500,25900,20000,9530,43350,9480,78300,56766,28900,21350,52200,8150,74300,122500,100000,10450,24400,14800,23850,625000,96300,31650,38050,142000,19950,619000,20400,30550,5950,21900,13200,61200,24250,19850,178500,31950,800000,122000,192500,62800,53400,32050,21200,35200,235000,6840,76300,58800,38200,4645,34150,55000,162500,2885,66100,20300,29100,92300,27850
2023-01-25,13010,46100,44050,52400,52200,5730,11220,9180,564000,58500,34650,12890,7240,95400,63000,10810,63400,194700,303000,165700,338500,82100,122500,91400,212500,228500,89000,202000,16810,161600,28300,30200,150800,36000,20550,118800,30500,71300,78500,20300,35450,55100,118000,186400,15630,23450,15160,61000,182800,5180,67900,23150,82200,95500,24200,467500,101500,36500,145600,16090,58000,28150,108100,36750,634000,84200,3945,38700,24300,69100,70566,36200,463000,281000,68400,7270,64000,26450,66500,259000,34150,43850,379500,33200,13440,45300,83000,345500,21647,16000,205500,16110,56300,63400,47450,33050,12010,11280,37650,74400,484000,62500,206000,130000,171700,77300,41150,35400,158908,7850,43600,174000,401000,732000,732000,25450,39000,16190,51800,147900,34000,61500,150300,44200,45950,40150,82800,49600,62600,10810,93800,65000,34350,15540,45500,44950,183800,74600,27000,12310,2935,106100,25750,20100,9520,43500,9400,77900,56454,28900,22150,52400,8120,75000,127200,96300,10540,24300,14200,23800,652000,96600,32700,37250,148100,20000,649000,20250,30600,5900,21850,13240,62600,23700,19590,179500,33150,798000,124500,189900,65500,53300,31550,21000,34350,234000,6870,76200,60000,37600,4665,34250,55700,164500,2885,66700,20150,29200,90400,27900
2023-01-26,13270,46350,44900,53100,52300,5890,11340,9560,573000,58900,34950,13370,7280,96400,63200,10650,63900,197900,314000,174900,343000,82500,119900,92300,219500,231500,88300,204000,16960,160500,28500,30550,147000,35400,20900,119700,30600,71300,80300,20300,35200,56100,117200,190400,15360,24800,15120,63500,208500,5170,67000,23400,82300,98400,24350,472000,100900,36650,143400,16050,60600,28550,108100,37400,641000,84500,3970,38400,24350,69400,72473,35650,466000,277500,69300,7310,64100,29300,68300,261000,33900,45500,383000,32950,13450,45500,83400,342000,22286,16510,202500,16280,57000,62900,47850,33800,12680,11260,38050,74900,517000,62100,205500,129000,173800,77600,41750,35450,161761,7880,43300,182200,394000,739000,727000,27050,37850,16240,52000,148000,34300,62100,148500,44800,45250,40500,82700,49050,63000,10960,91300,69300,34650,16000,47000,45200,183200,77600,27100,12660,2960,107000,25800,20400,9680,43650,9440,77800,58200,29350,21800,54500,8280,76800,127200,96600,10570,24350,14000,23800,685000,97900,32800,37900,145900,20200,672000,20250,30800,5950,21800,13590,63700,24000,19900,182700,33650,795000,123300,189400,69400,53600,31100,20950,35450,233500,6940,76900,59600,38200,4695,34350,54900,165300,2805,66000,19990,29600,90200,28200
2023-01-27,12850,47850,44750,51800,52600,5780,11340,9350,570000,57700,35600,13480,7250,94000,63900,10850,64600,205500,311500,173900,352500,85400,119500,91500,214500,232500,91100,211500,16940,160700,28650,30500,149900,35500,21150,120700,31150,72600,80700,20300,35900,56700,117100,194000,15340,24950,15230,64400,211500,5260,69100,23500,82900,97900,24600,475500,99200,37300,147400,16460,60000,28900,113300,37700,650000,84600,3990,39450,24800,70000,71996,36050,470000,284000,69800,7620,64500,28800,68500,262000,33950,45150,384000,33350,13480,45500,83900,341000,21745,16680,206000,16590,57100,63400,48150,33700,12750,11650,38950,76200,506000,62300,209500,130100,169300,79700,41950,35650,166779,7890,44450,183900,391000,745000,759000,26100,37100,15970,52500,149400,34400,63100,147800,45000,43550,41600,82100,49000,63500,11160,93200,68700,35150,15950,47000,45950,182300,77500,27100,12680,2990,108700,25900,21050,9760,43550,9540,79900,57951,29350,23300,53900,8240,80300,128500,96500,10590,24800,13980,23900,685000,98100,32650,37900,147000,20300,687000,20300,30500,6120,22100,14180,64700,23950,19910,183200,32950,809000,124600,184000,69200,54100,32150,21200,35700,235500,7050,78800,59300,38400,4715,34550,54500,166800,2875,67300,20050,29750,91500,28300
2023-01-30,13250,47050,43250,51200,52300,5730,11190,9360,564000,57300,35600,13440,7120,94200,62500,9890,63300,199800,303500,170000,345500,83800,120200,90700,206500,233000,89700,207000,16790,159200,28250,30150,144700,35200,20850,118600,30700,70900,79300,20050,35750,55900,119000,188900,15220,26200,15190,63400,218000,5240,66300,23200,80500,95100,24250,463000,98300,37450,144700,16120,60800,27850,110000,37550,633000,82800,3955,38800,24300,69500,71201,34750,461500,275500,69200,7610,64300,27000,65000,260000,33350,44150,375500,32600,13410,45400,83500,335000,22139,16550,208000,16610,56500,63500,47700,32750,12800,11630,38450,75000,510000,60700,201000,130000,164800,79300,41800,34500,161171,7860,43800,180200,394000,739000,748000,25350,37800,16410,52200,146600,34350,62000,148200,44500,42650,41300,81600,49000,63100,11020,92700,68600,34650,15850,46400,45050,176000,77100,26950,12570,2980,106000,26000,21850,9480,43250,9360,76500,57015,29200,22100,52800,8110,77000,126700,95400,10420,24500,13800,23800,683000,100400,32250,37700,148300,20400,687000,20150,29750,5870,21900,13800,63500,23350,19460,176700,32700,803000,123700,183300,66800,53000,30800,21050,34750,232000,6880,77100,59100,37600,4645,34400,54100,163700,2720,64500,20350,28900,90300,27800
