회계년도	종목검색
연번	종목명	1Q	2Q	3Q	4Q	합계	종가	배당수익률 ▼
1	효성티앤씨				50,000	50,000	521,000	9.59
2	고려아연				20,000	20,000	511,000	3.91
3	LG생활건강				12,000	12,000	1,097,000	1.09
4	LG화학				12,000	12,000	615,000	1.95
5	삼성화재				12,000	12,000	202,000	5.94
6	금호석유				10,000	10,000	166,000	6.02
7	효성첨단소재				10,000	10,000	596,000	1.67
8	영풍				10,000	10,000	655,000	1.52
9	롯데케미칼				8,300	8,300	217,000	3.82
10	오뚜기				8,000	8,000	456,000	1.75
11	SK		1,500		6,500	8,000	251,000	3.18
12	효성				6,500	6,500	94,700	6.86
13	한국금융지주				6,150	6,150	80,700	7.62
14	KCC		1,000		6,000	7,000	315,000	2.22
15	엔씨소프트				5,860	5,860	643,000	0.91
16	F&F				5,500	5,500	945,000	0.58
17	POSCO홀딩스	3,000	4,000	5,000	5,000	17,000	274,500	6.19
18	CJ제일제당				5,000	5,000	387,500	1.29
19	KT&G				4,800	4,800	79,000	6.07
20	삼성물산				4,200	4,200	119,000	3.52
21	현대차		1,000		4,000	5,000	209,000	2.39
22	농심				4,000	4,000	318,500	1.25
23	현대글로비스				3,800	3,800	168,000	2.26
24	삼성증권				3,800	3,800	44,900	8.46
25	HD현대		1,850		3,700	5,550	53,700	10.33
26	DB손해보험				3,500	3,500	54,000	6.48
27	키움증권				3,500	3,500	107,000	3.27
28	대한유화				3,500	3,500	183,000	1.91
29	현대모비스		1,000		3,000	4,000	254,500	1.57
30	삼성생명				3,000	3,000	64,100	4.68
31	롯데칠성				3,000	3,000	133,500	2.24
32	LG이노텍				3,000	3,000	364,000	0.82
33	신세계				3,000	3,000	254,000	1.18
34	기아				3,000	3,000	82,200	3.64
35	BGF리테일				3,000	3,000	145,500	2.06
36	SK케미칼				3,000	3,000	149,000	2.01
37	S-Oil		1,000		2,800	3,800	85,700	4.43
38	롯데쇼핑				2,800	2,800	87,200	3.21
39	LG				2,800	2,800	80,900	3.46
40	한국가스공사				2,728	2,728	39,100	6.97
41	DL이앤씨				2,700	2,700	119,000	2.26
42	SK이노베이션				2,508	2,508	238,500	1.05
43	에스원				2,500	2,500	73,900	3.38
44	하나금융지주		700		2,400	3,100	42,050	7.37
45	삼성에스디에스				2,400	2,400	156,500	1.53
46	현대홈쇼핑				2,400	2,400	63,400	3.78
47	CJ				2,300	2,300	83,400	2.75
48	삼성카드				2,300	2,300	31,500	7.30
49	롯데정밀화학				2,300	2,300	75,000	3.06
50	LX인터내셔널				2,300	2,300	26,450	8.69
51	한솔케미칼				2,100	2,100	305,500	0.68
52	삼성전기				2,100	2,100	197,500	1.06
53	이마트				2,000	2,000	151,000	1.32
54	GS				2,000	2,000	39,100	5.11
55	OCI홀딩스				2,000	2,000	104,000	1.92
56	녹십자				2,000	2,000	218,000	0.91
57	두산				2,000	2,000	118,000	1.69
58	KT				1,910	1,910	30,600	6.24
59	DL				1,900	1,900	60,900	3.11
60	태광산업				1,750	1,750	1,043,000	0.16
61	SK텔레콤		2,500	2,500	1,660	6,660	57,900	11.50
62	롯데웰푸드				1,600	1,600	120,500	1.32
63	한샘				1,550	1,550	92,600	1.67
64	SK하이닉스				1,540	1,540	131,000	1.17
65	롯데지주				1,500	1,500	29,900	5.01
66	신세계인터내셔날				1,500	1,500	145,500	1.03
67	현대해상				1,480	1,480	22,950	6.44
68	LS				1,450	1,450	54,100	2.68
69	신한지주		300	260	1,400	1,960	36,800	5.32
70	KB금융		750		1,345	2,095	55,000	3.80
