회계년도	종목검색
연번	종목명	1Q	2Q	3Q	4Q	합계	종가	배당수익률 ▼
71	코오롱인더				1,300	1,300	70,900	1.83
72	GS건설				1,300	1,300	39,600	3.28
73	에스디바이오센서				1,266	1,266	55,900	2.26
74	코웨이				1,250	1,250	74,400	1.68
75	GS리테일				1,200	1,200	30,400	3.94
76	두산밥캣				1,200	1,200	40,750	2.94
77	아이에스동서				1,200	1,200	44,250	2.71
78	LIG넥스원				1,200	1,200	68,600	1.74
79	한전KPS				1,199	1,199	38,550	3.11
80	SKC				1,100	1,100	174,500	0.63
81	현대백화점				1,100	1,100	75,100	1.46
82	PI첨단소재				1,090	1,090	55,100	1.97
83	NH투자증권				1,050	1,050	12,500	8.40
84	종근당				1,000	1,000	111,000	0.90
85	휠라홀딩스				1,000	1,000	35,850	2.78
86	TKG휴켐스				1,000	1,000	23,150	4.31
87	풍산				1,000	1,000	31,150	3.21
88	영원무역				1,000	1,000	43,650	2.29
89	LS ELECTRIC				1,000	1,000	55,800	1.79
90	현대제철				1,000	1,000	41,000	2.43
91	삼성SDI				1,000	1,000	655,000	0.15
92	삼양식품				1,000	1,000	94,800	1.05
93	제일기획				990	990	22,850	4.33
94	아모레퍼시픽				980	980	167,000	0.58
95	LG전자				850	850	138,000	0.61
96	지누스				850	850	77,100	1.10
97	대상				800	800	23,300	3.43
98	포스코인터내셔널				800	800	22,450	3.56
99	하이트진로				800	800	30,150	2.65
100	HL만도				800	800	63,400	1.26
101	현대엘리베이				800	800	41,200	1.94
102	기업은행				780	780	10,300	7.57
103	우리금융지주			150	750	900	12,700	7.08
104	케이카				750	750	34,100	2.19
105	한화				750	750	31,400	2.38
106	오리온				750	750	103,500	0.72
107	셀트리온				750	750	198,000	0.37
108	한국타이어앤테크놀로지				700	700	39,700	1.76
109	한화에어로스페이스				700	700	48,000	1.45
110	더블유게임즈				700	700	57,900	1.20
111	동서				700	700	31,000	2.25
112	현대위아				700	700	79,900	0.87
113	LG디스플레이				650	650	24,600	2.64
114	쿠쿠홈시스				650	650	39,200	1.65
115	오리온홀딩스				650	650	15,950	4.07
116	DGB금융지주				630	630	9,380	6.71
117	한섬				600	600	35,600	1.68
118	HMM				600	600	26,900	2.23
119	대웅제약				600	600	148,000	0.40
120	세방전지				600	600	75,900	0.79
121	현대건설				600	600	44,450	1.34
122	한국앤컴퍼니				600	600	15,700	3.82
123	HDC현대산업개발				600	600	22,900	2.62
124	씨에스윈드				600	600	65,700	0.91
125	동원시스템즈				600	600	51,200	1.17
126	JB금융지주				599	599	8,350	7.17
127	BNK금융지주				560	560	8,400	6.66
128	코스맥스				550	550	87,400	0.62
129	한일시멘트				540	540	21,000	2.57
130	넷마블				528	528	125,000	0.42
131	NAVER				501	501	378,500	0.13
132	한미약품				500	500	276,000	0.18
133	에스엘				500	500	31,200	1.60
134	율촌화학				500	500	27,250	1.83
135	한세실업				500	500	21,950	2.27
136	DB하이텍				450	450	72,700	0.61
137	아모레G				450	450	44,350	1.01
138	한국콜마				415	415	40,250	1.03
139	유한양행				400	400	62,100	0.64
140	녹십자홀딩스				400	400	27,150	1.47
141	삼성전자	361	361	361	361	1,444	78,300	1.84
142	LG유플러스		200		350	550	13,600	4.04
143	롯데에너지머티리얼즈				300	300	135,000	0.22
144	포스코퓨처엠				300	300	144,000	0.20
145	미래에셋증권				300	300	8,650	3.46
146	한전기술				238	238	85,000	0.28
147	메리츠금융지주				210	210	44,000	0.47
148	호텔신라				200	200	78,000	0.25
149	한미사이언스				200	200	54,200	0.36
150	한국항공우주				200	200	32,450	0.61
151	한화시스템				160	160	16,000	1.00
152	SK네트웍스				120	120	5,020	2.39
153	쌍용C&E	110	110	110	110	440	7,710	5.70
154	보령				100	100	14,600	0.68
155	KG스틸				100	100	10,600	0.94
156	대웅				100	100	31,050	0.32
157	팬오션				100	100	5,410	1.84
158	한온시스템	90	90	90	90	360	13,450	2.67
159	카카오				53	53	112,500	0.04
160	후성				15	15	23,100	0.06
161	LG에너지솔루션							
162	금호타이어						4,610	
163	크래프톤						460,000	
164	CJ대한통운						126,000	
165	SK스퀘어						66,400	
166	금양						4,905	
167	SK아이이테크놀로지						168,000	
168	한올바이오파마						21,050	
169	일진하이솔루스						54,500	
170	한진칼						61,400	
171	현대미포조선						70,000	
172	대우건설						5,770	
173	롯데관광개발						17,550	
174	하이브						349,000	
175	신풍제약						31,950	
176	한화솔루션						35,500	
177	한국전력						22,100	
178	삼성중공업						5,670	
179	강원랜드						24,050	
180	SK바이오팜						97,200	
181	한화오션						23,050	
182	삼성바이오로직스						903,000	
183	코스모화학						16,100	
184	카카오페이						174,500	
185	대한항공						29,350	
186	카카오뱅크						59,000	
187	두산에너빌리티						20,400	
188	명신산업						30,100	
189	대한전선						1,780	
190	삼성엔지니어링						22,900	
191	SK바이오사이언스						225,000	
192	HD현대중공업						95,200	
193	HD현대인프라코어						7,080	
194	현대로템						20,800	
195	아시아나항공						20,000	
196	두산퓨얼셀						48,000	
197	하나투어						74,600	
198	한화생명						2,935	
199	GKL						13,150	
200	HD한국조선해양						94,600	
합계	3561.000000	16361.000000	8471.000000	390766.000000	419159.000000	24357570.000000	1.720857	
